listing_id,name,host_id,host_name,Boroughs,neighbourhood,price,number_of_reviews,last_review,reviews_per_month,availability_365,Boroughs_ID
9351013,"Boutique Living, 10 min from NYC",48532777,Alexander,Queens,Ditmars Steinway,89,12,9/23/2017,0.87,311,4.0
9595836,LargeRoom Astoria20min to Manhattan,1172202,Funda,Queens,Ditmars Steinway,90,47,8/31/2017,2.14,136,4.0
15641528,Amazing 1 Bed. - 10 Min. to Manhattan!,100900044,Denis,Queens,Ditmars Steinway,120,3,9/13/2017,0.39,338,4.0
13543975,Homey 1 Bed Hideaway in Astoria,76801764,Emily,Queens,Ditmars Steinway,75,2,7/11/2016,0.13,0,4.0
11968958,Beautiful studio,63935825,Marianna,Queens,Ditmars Steinway,78,4,5/28/2016,0.23,0,4.0
6168880,Spacious 1 bedroom 5 min from N & Q,10113487,Aleksandar,Queens,Ditmars Steinway,215,26,9/22/2017,0.93,359,4.0
19309654,Entire beautiful apartment - 15 min to Manhattan,79809986,Anjelo,Queens,Ditmars Steinway,90,1,7/26/2017,0.43,172,4.0
6595943,Cozy 1 bedroom in a quiet neighborh,34113764,Nick,Queens,Ditmars Steinway,99,42,9/24/2017,1.49,275,4.0
15126483,Kitschy Corner Bedroom on a Friendly Astoria Block,4811900,Bridget,Queens,Ditmars Steinway,70,25,9/26/2017,2.09,65,4.0
16945254,Nice1br-BestLocation-DitmarsAstoria-15min2NYC!,16828535,Arben,Queens,Ditmars Steinway,99,16,10/1/2017,4.9,24,4.0
577324,Room in Astoria 25 min to Central Park,2839267,Dustin,Queens,Ditmars Steinway,54,104,9/28/2017,1.64,43,4.0
7637901,"Perfect location, 15 min.Manhattan",39835878,Tuba,Queens,Ditmars Steinway,70,13,11/18/2016,0.53,362,4.0
19179997,"Sunny, spacious, homey 1BR apt., near park & train",4078736,Renee,Queens,Ditmars Steinway,73,7,9/26/2017,2.06,0,4.0
8145603,"Spacious, Beautiful, Private Room",43007744,Ardis,Queens,Ditmars Steinway,75,23,9/27/2017,1.0,124,4.0
6196265,Charming House in Astoria,10618197,Ambre,Queens,Ditmars Steinway,150,1,7/2/2015,0.04,0,4.0
8686361,Elegant Queen size bed room.,24597265,Freda,Queens,Ditmars Steinway,50,1,7/16/2016,0.07,323,4.0
